0,program,shift,2
1,;,shift,3
2,identifier,shift,4
3,.,reduce,7
3,constant,shift,7
3,var,reduce,7
3,begin,reduce,7
4,;,reduce,3
4,(,shift,9
5,.,shift,10
6,var,shift,12
6,begin,reduce,11
7,constant-definition,shift,13
8,;,reduce,1
9,identifier,shift,16
10,$,accept,0
11,begin,shift,18
12,identifier,shift,16
13,;,shift,21
14,),shift,22
15,),reduce,4
16,),reduce,22
16,:,reduce,22
16,,,shift,24
17,.,reduce,5
18,;,reduce,30
18,identifier,shift,34
18,begin,shift,37
18,end,reduce,30
18,writeln,shift,42
18,readln,shift,43
18,repeat-stateexpressionment,shift,39
18,while,shift,44
18,until,reduce,30
18,for,shift,45
18,if,shift,41
18,else,reduce,30
19,;,shift,46
20,:,shift,47
21,.,reduce,9
21,constant-definition,shift,49
21,var,reduce,9
21,begin,reduce,9
22,;,reduce,2
23,),reduce,20
23,:,reduce,20
24,identifier,shift,50
25,end,shift,51
26,;,shift,53
26,end,reduce,25
26,until,reduce,25
27,;,reduce,26
27,end,reduce,26
27,until,reduce,26
27,else,reduce,26
28,;,reduce,27
28,end,reduce,27
28,until,reduce,27
28,else,reduce,27
29,;,reduce,28
29,end,reduce,28
29,until,reduce,28
29,else,reduce,28
30,;,reduce,29
30,end,reduce,29
30,until,reduce,29
30,else,reduce,29
31,;,reduce,46
31,end,reduce,46
31,until,reduce,46
31,else,reduce,46
32,;,reduce,47
32,end,reduce,47
32,until,reduce,47
32,else,reduce,47
33,;,reduce,48
33,end,reduce,48
33,until,reduce,48
33,else,reduce,48
34,:=,shift,54
35,;,reduce,32
35,end,reduce,32
35,until,reduce,32
35,else,reduce,32
36,;,reduce,33
36,end,reduce,33
36,until,reduce,33
36,else,reduce,33
37,;,reduce,30
37,identifier,shift,34
37,begin,shift,37
37,end,reduce,30
37,writeln,shift,42
37,readln,shift,43
37,repeat-stateexpressionment,shift,39
37,while,shift,44
37,until,reduce,30
37,for,shift,45
37,if,shift,41
37,else,reduce,30
38,;,reduce,50
38,end,reduce,50
38,until,reduce,50
38,else,reduce,50
39,;,reduce,51
39,end,reduce,51
39,until,reduce,51
39,else,reduce,51
40,;,reduce,52
40,end,reduce,52
40,until,reduce,52
40,else,reduce,52
41,identifier,reduce,67
41,(,reduce,67
41,string,reduce,67
41,number,reduce,67
41,+,shift,59
41,-,shift,60
41,not,reduce,67
42,(,shift,61
43,;,reduce,44
43,(,shift,63
43,end,reduce,44
43,until,reduce,44
43,else,reduce,44
44,identifier,reduce,67
44,(,reduce,67
44,string,reduce,67
44,number,reduce,67
44,+,shift,59
44,-,shift,60
44,not,reduce,67
45,identifier,shift,65
46,identifier,shift,16
46,begin,reduce,13
47,integer,shift,69
47,real,shift,70
47,boolean,shift,71
47,string,shift,72
48,.,reduce,6
48,var,reduce,6
48,begin,reduce,6
49,;,shift,73
50,),reduce,22
50,:,reduce,22
50,,,shift,24
51,.,shift,75
52,end,reduce,23
52,until,reduce,23
53,;,reduce,30
53,identifier,shift,34
53,begin,shift,37
53,end,reduce,30
53,writeln,shift,42
53,readln,shift,43
53,repeat-stateexpressionment,shift,39
53,while,shift,44
53,until,reduce,30
53,for,shift,45
53,if,shift,41
53,else,reduce,30
54,identifier,reduce,67
54,(,reduce,67
54,string,reduce,67
54,number,reduce,67
54,+,shift,59
54,-,shift,60
54,not,reduce,67
55,end,shift,78
56,then,shift,79
57,;,reduce,63
57,),reduce,63
57,end,reduce,63
57,do,reduce,63
57,until,reduce,63
57,to,reduce,63
57,downto,reduce,63
57,then,reduce,63
57,else,reduce,63
57,=,shift,82
57,<>,shift,83
57,<,shift,84
57,<=,shift,85
57,>,shift,86
57,>=,shift,87
58,identifier,shift,90
58,(,shift,93
58,string,shift,92
58,number,shift,91
58,not,shift,94
59,identifier,reduce,65
59,(,reduce,65
59,string,reduce,65
59,number,reduce,65
59,not,reduce,65
60,identifier,reduce,66
60,(,reduce,66
60,string,reduce,66
60,number,reduce,66
60,not,reduce,66
61,identifier,shift,100
61,),reduce,36
61,string,shift,99
61,number,shift,98
62,;,reduce,43
62,end,reduce,43
62,until,reduce,43
62,else,reduce,43
63,identifier,shift,16
64,do,shift,102
65,:=,shift,103
66,begin,reduce,10
67,;,shift,104
68,;,reduce,14
69,;,reduce,16
70,;,reduce,17
71,;,reduce,18
72,;,reduce,19
73,.,reduce,9
73,constant-definition,shift,49
73,var,reduce,9
73,begin,reduce,9
74,),reduce,21
74,:,reduce,21
75,.,reduce,15
76,;,shift,53
76,end,reduce,25
76,until,reduce,25
77,;,reduce,31
77,end,reduce,31
77,until,reduce,31
77,else,reduce,31
78,.,shift,107
79,;,reduce,30
79,identifier,shift,34
79,begin,shift,37
79,end,reduce,30
